-,human,Vs,ai
length,14.192119518972584, ,18.384028117359446
syllable,2.4960516857666586, ,2.8827128829751367
readability,-18.735973927616453, ,-55.70229843881638
maxminreadability,"[14.351875325879178, -73.78869591029024]", ,"[17.410922935779837, -99.58788662373624]"
tuple pos/neg readability,,,
pos readability,"[[589, 0.6304283102637669], [593, 1.8886810068650277], [603, 2.9367228853139693], [619, 0.399287974683574], [623, 1.9339263224181877], [634, 0.28885964912285544], [636, 9.339438638399542], [640, 3.5016923076923376], [645, 8.577897603485866], [647, 8.295389532686755], [650, 10.36825581395351], [656, 2.9098187414500956], [659, 5.03704618689585], [667, 2.0993283582089646], [673, 14.351875325879178], [684, 0.6287327188940424], [702, 5.947744186046549], [706, 3.301249999999982], [709, 4.500284313725501], [712, 4.761964317415249], [716, 5.276742857142892], [720, 1.8260294117646936], [724, 6.472467739232485], [726, 2.7527606732348318], [731, 0.9651032749015087], [746, 9.191825547881905], [747, 1.7287563451777146], [749, 0.6960620300752112], [771, 4.566830732292971], [790, 1.892055739514376], [802, 4.2591547454237855], [822, 0.6512612612612827], [826, 5.691777546777558], [830, 4.676615384615388], [839, 4.032256944444441], [841, 3.4558245614035172], [842, 10.883461538461574], [846, 4.514540145985421], [854, 2.3040309067212945], [858, 0.9283374689826474], [862, 4.149400243968586], [875, 3.9212049158429068], [884, 4.532389758179278], [900, 8.477266023261592], [910, 1.5890494031830542], [915, 0.06523193841297825], [929, 1.0837500000000375], [930, 6.337432631063251]]", ,"[[375, 17.410922935779837]]"
neg readability,"[[481, -52.32494162382173], [482, -73.78869591029024], [483, -56.45224852071004], [484, -35.9351671557325], [485, -46.13410243902436], [486, -44.6619588692065], [487, -50.16512400530499], [488, -29.06914504932405], [489, -42.702605363984645], [490, -38.677572584483556], [491, -42.91], [492, -44.811286057692286], [493, -38.97114516129028], [494, -53.21921785755916], [495, -29.212508421870922], [496, -25.89293548387093], [497, -19.50312679425832], [498, -24.624657273419615], [499, -42.94177126917714], [500, -24.281867167919785], [501, -29.72614154013013], [502, -43.221514566675836], [503, -44.655351123595466], [504, -24.766898954703805], [505, -13.864642042463544], [506, -52.274934236907484], [507, -49.9562767805443], [508, -39.2339855687606], [509, -29.57157894736841], [510, -41.93031354441513], [511, -25.727851002865293], [512, -41.33131068917939], [513, -27.218053691275145], [514, -42.08954687657686], [515, -41.988927211816645], [516, -52.87012485869897], [517, -54.56428011404134], [518, -44.45954862385315], [519, -31.841885245901636], [520, -33.61466741573031], [521, -36.2683512195122], [522, -39.08358099489794], [523, -20.839477611940282], [524, -27.744152334152318], [525, -51.97370843989768], [526, -45.232171297989], [527, -67.86583439049701], [528, -46.39199999999997], [529, -25.27838942307693], [530, -35.91970996038478], [531, -32.8069932432432], [532, -32.05550611064464], [533, -26.350995660932853], [534, -47.716807318894695], [535, -44.360538461538425], [536, -32.66442687246962], [537, -30.453533333333326], [538, -39.328890950069336], [539, -48.56521492393139], [540, -20.002897727272682], [541, -47.30146877901575], [542, -14.039173973234881], [543, -25.906428571428563], [544, -36.306861471861424], [545, -23.666390977443598], [546, -50.31167107750474], [547, -45.333632686084115], [548, -21.562247368420998], [549, -39.603928571428554], [550, -40.482554744525515], [551, -25.289647489539703], [552, -34.03300713557593], [553, -27.53066738139907], [554, -31.793860122141325], [555, -32.891282211611326], [556, -26.18736886381626], [557, -21.86416666666662], [558, -29.48119565217388], [559, -60.24993487062136], [560, -60.448439526004876], [561, -30.170494186046483], [562, -39.07351851851848], [563, -37.55815123508654], [564, -51.55395161290318], [565, -49.46065573770491], [566, -46.1305309734513], [567, -50.76598886986298], [568, -39.524838827838806], [569, -29.19292276378036], [570, -46.30847887323941], [571, -40.73397832245348], [572, -47.85406778456726], [573, -44.099918672501786], [574, -37.157062780269], [575, -42.34975352112673], [576, -37.9925471698113], [577, -31.30079701834859], [578, -41.18341702388241], [579, -68.38482436818919], [580, -34.61482558139534], [581, -11.807301159900533], [582, -16.191639247943556], [583, -2.9300193298968793], [584, -3.210007898894162], [585, -29.939372659176], [586, -12.343236164545715], [587, -6.768749999999983], [588, -18.941360598503707], [590, -23.08167420814479], [591, -9.397881665177238], [592, -30.49215477560412], [594, -7.928747575953452], [595, -22.796969696969683], [596, -25.707287878787866], [597, -4.4067219281136545], [598, -14.910351704489614], [599, -20.372690909090863], [600, -28.501769924374628], [601, -20.200366568914916], [602, -12.407485294117606], [604, -12.518194798572125], [605, -2.2143823845327404], [606, -26.29930348258705], [607, -9.819607400721992], [608, -1.9616301751592289], [609, -32.33167161125317], [610, -7.53316417910446], [611, -17.80448999819785], [612, -23.821552560481365], [613, -11.677758141883317], [614, -17.097999999999985], [615, -20.454999999999956], [616, -9.354565456545629], [617, -4.0951941747572675], [618, -19.553606303454757], [620, -15.032727272727243], [621, -16.69999999999999], [622, -6.544076923076915], [624, -2.139117140396195], [625, -21.877740482822617], [626, -8.697474747474729], [627, -16.017408805031437], [628, -12.48198957994137], [629, -3.6685828877005235], [630, -5.692756097560931], [631, -2.406152112812549], [632, -30.301959459459454], [633, -19.06989788536447], [635, -25.540487238979125], [637, -0.32461538461538453], [638, -20.773320512820504], [639, -19.490317748289414], [641, -30.957170542635623], [642, -10.531929922549864], [643, -28.14160083160081], [644, -33.18823770491801], [646, -8.6924326288717], [648, -22.970412186379917], [649, -22.863850106307524], [651, -7.396855203619879], [652, -6.2549137931034124], [653, -4.123032226023582], [654, -30.771917204932464], [655, -11.57521019677992], [657, -3.7820312499999886], [658, -18.15848043542215], [660, -5.796051240027197], [661, -9.50048780487802], [662, -16.82002136752132], [663, -13.206808618590145], [664, -14.57043296089384], [665, -9.102235591206153], [666, -4.043509957325739], [668, -20.376474953617816], [669, -25.07524115861702], [670, -20.701042193381625], [671, -20.907689893283077], [672, -15.184825235792971], [674, -5.81217048526193], [675, -24.184545001108347], [676, -24.771339272118155], [677, -1.9211758251033473], [678, -8.91620484400653], [679, -7.796772546795239], [680, -15.083258206965468], [681, -11.041410687022875], [682, -24.16999173325982], [683, -19.415291025551767], [685, -7.253480949197808], [686, -0.3342803030302548], [687, -9.467849462365564], [688, -14.069053571428526], [689, -1.663853754940675], [690, -23.354710327455905], [691, -11.478877551020389], [692, -8.123528045137732], [693, -21.670823529411734], [694, -8.225605290303548], [695, -13.9564475079533], [696, -11.230321637426869], [697, -9.11019607843133], [698, -33.26974214876029], [699, -8.225999999999999], [700, -13.372461440498085], [701, -17.251953601953574], [703, -0.46080216535429486], [704, -9.230355186675581], [705, -30.803115299334763], [707, -2.5392517006802393], [708, -18.642273262661945], [710, -10.119210526315783], [711, -10.837953601108012], [713, -42.44298519495749], [714, -8.780268958278612], [715, -25.287191799059173], [717, -23.224573720397217], [718, -4.051760768057903], [719, -20.803419811320737], [721, -8.455790556305999], [722, -16.154153225806425], [723, -14.260836575875459], [725, -3.1804446640315973], [727, -12.450468327269306], [728, -8.212153404429841], [729, -10.7397344734473], [730, -45.09601479289941], [732, -15.560637254901934], [733, -32.29570930232558], [734, -11.811111111111074], [735, -26.543888888888887], [736, -2.1907423971377398], [737, -12.794114832535854], [738, -22.52272727272728], [739, -14.897733847637426], [740, -6.154741955069795], [741, -17.143970473970455], [742, -27.992386363636314], [743, -12.836109822119113], [744, -19.107670278637755], [745, -13.707084088437824], [748, -7.899216254168834], [750, -15.956280207134625], [751, -27.136080168776346], [752, -11.306651662049859], [753, -15.98902027027026], [754, -30.759630808757777], [755, -23.182736131934035], [756, -13.146940186915884], [757, -13.11002739726024], [758, -19.674557426597545], [759, -10.721349337748308], [760, -16.247734939759027], [761, -3.838699095022605], [762, -14.192794117647026], [763, -19.28109489051093], [764, -7.591928698752241], [765, -18.396806722689035], [766, -17.003313432835824], [767, -18.16734801816935], [768, -27.571062499999954], [769, -7.138666169895657], [770, -32.4684591679507], [772, -17.324230769230724], [773, -25.865727518095895], [774, -15.6772], [775, -10.302938948306576], [776, -20.369999999999976], [777, -11.688344226579488], [778, -10.197717121588056], [779, -12.935707692307659], [780, -21.039476744186032], [781, -8.644210526315788], [782, -29.30494652406412], [783, -33.476118421052604], [784, -23.207211644287895], [785, -30.415393626991545], [786, -16.68269006558171], [787, -6.5192518394405], [788, -16.433793655025312], [789, -4.211406489524762], [791, -13.06614115841964], [792, -6.459426377597055], [793, -16.62980120030005], [794, -7.406180860403822], [795, -35.7031969849246], [796, -3.324673913043455], [797, -15.969173173803512], [798, -9.253189408396935], [799, -32.96304940172962], [800, -20.497224712804694], [801, -22.697246153846123], [803, -17.538992869875187], [804, -5.414532967032926], [805, -40.046426322418114], [806, -20.405983050847425], [807, -18.714367993815188], [808, -39.42618577075095], [809, -5.994485294117624], [810, -20.80013245033109], [811, -0.6285641989588839], [812, -23.723015734265687], [813, -18.983980582524254], [814, -7.222784090909073], [815, -9.76017647058822], [816, -24.464255097794393], [817, -17.78009627329189], [818, -2.156486612241423], [819, -4.686527647610092], [820, -30.633264550264528], [821, -16.121638981173817], [823, -11.76284557907843], [824, -7.161649504195282], [825, -25.289630584192395], [827, -12.403536609144936], [828, -3.1863297639860093], [829, -21.099780701754355], [831, -36.173070588235305], [832, -10.510528111353693], [833, -15.130122365038545], [834, -19.008043478260845], [835, -28.4380509717638], [836, -10.459914753430212], [837, -5.169319620253134], [838, -46.68239203666883], [840, -42.56551034208428], [843, -8.338795220710239], [844, -15.52153403141358], [845, -18.6399509433962], [847, -7.392036555251764], [848, -6.562578609199932], [849, -14.509767483296201], [850, -12.939380797773651], [851, -9.419727214377389], [852, -2.853836498229782], [853, -23.58446582614465], [855, -34.337096774193526], [856, -11.398995231607614], [857, -18.108888888888828], [859, -20.188939759036117], [860, -8.378268713813043], [861, -22.393882681564236], [863, -2.6938670081243288], [864, -16.82070698562444], [865, -9.803692615470993], [866, -8.004109018365284], [867, -15.344941939890674], [868, -29.072130795783153], [869, -8.212075370697448], [870, -4.140863022112995], [871, -11.081395563183293], [872, -14.156096129441607], [873, -7.064558918482589], [874, -4.316534653465311], [876, -27.30207679304513], [877, -11.308471843262055], [878, -14.037042682926796], [879, -8.855918242830967], [880, -2.72445980551052], [881, -16.760818181818138], [882, -25.094306249156404], [883, -16.840924667233054], [885, -29.878283587257556], [886, -8.999207700851542], [887, -5.648919799498714], [888, -14.957700781019724], [889, -28.99125678696899], [890, -14.937328042328005], [891, -23.486589289020515], [892, -1.4267433369842593], [893, -22.80827253668761], [894, -0.11965853658534797], [895, -1.996674876847294], [896, -8.831839953271015], [897, -25.032799415774093], [898, -12.657577726809336], [899, -13.03103799185888], [901, -32.332025210084], [902, -3.7349701579608734], [903, -24.997797414930062], [904, -30.490882352941128], [905, -35.51536614080524], [906, -32.13370879120879], [907, -4.6136944745395], [908, -4.6136944745395], [909, -32.12841525885557], [911, -5.706903148664765], [912, -35.299812052505956], [913, -26.92667585515599], [914, -23.338601532566997], [916, -22.051636085626882], [917, -23.891127856101093], [918, -0.5865384615384528], [919, -11.421929411764694], [920, -26.11127791563274], [921, -9.9581930820857], [922, -21.58212667785233], [923, -35.397388612195385], [924, -12.571567488187952], [925, -15.615377293181012], [926, -9.848163771712137], [927, -18.859562452782654], [928, -30.518207242561203], [931, -1.498604166666638], [932, -16.686528925619825], [933, -18.76858645627874], [934, -20.566666666666663], [935, -2.2773447955390225], [936, -23.569797116029463], [937, -2.572392091648169], [938, -5.659658986175117], [939, -19.18766319444441], [940, -15.900478276743314], [941, -8.22473551637276], [942, -14.171949851883198], [943, -19.468154446612743], [944, -14.863890109890093], [945, -3.0448821556155394], [946, -26.187353771682126], [947, -28.35404868913858], [948, -5.073014349427922], [949, -12.419134240246393], [950, -24.067133163698003], [951, -16.12574324324322], [952, -37.41989563200613], [953, -19.50758318478904], [954, -14.888189655172397], [955, -21.231179487179475], [956, -22.98291986564297], [957, -16.865700392241138], [958, -36.34688311688308], [959, -17.958953678474103], [960, -17.543403594771235]]", ,"[[1, -78.35433642475729], [2, -78.46399936236105], [3, -56.398226001381175], [4, -54.63340093240092], [5, -69.77375146160841], [6, -81.11466248037678], [7, -53.985287705956864], [8, -52.89210526315787], [9, -50.05257524271843], [10, -57.12174943200256], [11, -61.51848739495796], [12, -54.85131005934147], [13, -71.66181722689072], [14, -62.500095510983755], [15, -47.70408646800192], [16, -69.74395224051773], [17, -57.92283044574586], [18, -69.31431156405986], [19, -62.918313645892226], [20, -63.873386518126864], [21, -69.85091220688349], [22, -51.22017241379305], [23, -65.99902673796788], [24, -65.39959459459456], [25, -58.184999999999974], [26, -79.42624999999992], [27, -60.41523642015707], [28, -69.58808098830883], [29, -59.66338050564477], [30, -70.98303217223025], [31, -74.85206611570243], [32, -65.95362729862728], [33, -73.687027027027], [34, -49.53768043850198], [35, -66.19910256410253], [36, -70.17830906369079], [37, -72.73486505681817], [38, -72.49336936936933], [39, -41.356936911218924], [40, -51.05855900196278], [41, -79.39622012185592], [42, -56.347140921409164], [43, -41.221938077317816], [44, -54.9044193168433], [45, -72.9731597463242], [46, -91.65203602073919], [47, -67.64454703832749], [48, -64.32682384341635], [49, -52.060509490509475], [50, -58.2246753246753], [51, -58.19046028880862], [52, -63.25013043478256], [53, -66.5130112570356], [54, -61.58000141078546], [55, -65.26739676363954], [56, -83.8567543859649], [57, -59.023773584905655], [58, -59.43721015107789], [59, -63.85713903295968], [60, -47.44776701966717], [61, -79.92676193371847], [62, -41.22861895794094], [63, -66.3401010272313], [64, -56.265700551896], [65, -72.67725806451608], [66, -79.97947802197797], [67, -64.84673858324342], [68, -48.675579937304065], [69, -63.482321428571396], [70, -60.9671813809687], [71, -75.03971523668633], [72, -45.039782022471854], [73, -67.9446443812233], [74, -56.86997213708548], [75, -60.91649470899469], [76, -65.30865853658531], [77, -55.10254673613235], [78, -62.540212150433916], [79, -59.31077241750356], [80, -81.0529885057471], [81, -82.95990384615382], [82, -46.67323974630017], [83, -73.35177709521719], [84, -66.78931769614326], [85, -56.08249999999998], [86, -89.47674418604649], [87, -57.788122847301935], [88, -76.55899321266966], [89, -49.73039658071747], [90, -78.76347663873264], [91, -66.53577586206893], [92, -79.94628401360544], [93, -50.773832923832884], [94, -50.09286075949365], [95, -73.32732384823842], [96, -72.42170875995447], [97, -54.11506664127947], [98, -65.1476716294458], [99, -65.7819683337228], [100, -63.41025773195875], [101, -58.3543097014925], [102, -54.92166666666665], [103, -59.729495798319306], [104, -39.53288168307273], [105, -54.50072788697784], [106, -73.12149198008842], [107, -67.3019526397515], [108, -55.187142857142845], [109, -23.394464391398685], [110, -45.63889840911321], [111, -67.60507488087134], [112, -45.6013675946397], [113, -60.33553087986462], [114, -47.63586538461533], [115, -66.09616398397412], [116, -73.12338051349568], [117, -58.30731655618928], [118, -81.9031844226966], [119, -49.38685714285711], [120, -65.7951077441077], [121, -60.54333333333332], [122, -36.6622778481904], [123, -48.79361494479494], [124, -43.276036400404394], [125, -39.73179911090918], [126, -70.6474321266968], [127, -40.8376352853966], [128, -65.44433673469388], [129, -55.76095652173913], [130, -41.595636436521374], [131, -72.76809791463018], [132, -42.502267263427086], [133, -56.2167654573326], [134, -32.49853968253964], [135, -66.0568910094158], [136, -70.12076132222799], [137, -32.2810153321976], [138, -38.59761916225321], [139, -44.009905641025625], [140, -40.954466056865726], [141, -68.14694498313654], [142, -44.825034965034945], [143, -70.64403314917124], [144, -40.38581578947367], [145, -53.08773835920172], [146, -63.005310344827535], [147, -63.963119136960586], [148, -54.9530100334448], [149, -55.75402802613473], [150, -66.40145076549345], [151, -51.95374999999996], [152, -57.02115794143742], [153, -51.982227410267086], [154, -47.92735612656611], [155, -59.95176369863012], [156, -65.8465514018691], [157, -39.63374005964215], [158, -53.852050691244216], [159, -41.79519639065816], [160, -36.711465737514516], [161, -69.0738009915014], [162, -58.23150987972505], [163, -68.78747366449738], [164, -64.8514797677372], [165, -51.572884615384595], [166, -78.2848571428571], [167, -39.372129718107914], [168, -60.17102931553461], [169, -56.54295193764881], [170, -41.695387700534724], [171, -57.99807132609138], [172, -46.95004132231401], [173, -66.06984007055004], [174, -42.60806758740935], [175, -71.04218597063624], [176, -72.85114449339204], [177, -57.57392189026942], [178, -73.28455710955711], [179, -55.42455757313732], [180, -67.97872611464965], [181, -57.68680103532566], [182, -71.30576732673268], [183, -45.14189672061326], [184, -36.90703299203639], [185, -71.36368644067792], [186, -62.15000530222693], [187, -43.961970874329126], [188, -66.67756043956038], [189, -51.84067319613186], [190, -43.56953832346076], [191, -57.94467592592588], [192, -45.281937984496096], [193, -51.2660786914235], [194, -48.4295167623074], [195, -56.422499999999985], [196, -52.71439005248439], [197, -37.73868530263877], [198, -48.60966412897446], [199, -18.26894111570249], [200, -52.94246884735202], [201, -57.26848393574292], [202, -71.46476434554316], [203, -61.460601018675675], [204, -55.351686909581616], [205, -39.63844781445138], [206, -52.86390782035173], [207, -52.22324074074072], [208, -41.892121318114846], [209, -61.08625686229024], [210, -69.9888942307692], [211, -70.27201026669809], [212, -56.061979489449584], [213, -65.16423076923073], [214, -50.57948435277382], [215, -28.74602820874469], [216, -72.72894466316711], [217, -53.16243589743584], [218, -66.52486872909697], [219, -58.9331169548328], [220, -42.012215826742306], [221, -58.65562697576394], [222, -35.907970711297025], [223, -58.96113861386135], [224, -39.606384323640924], [225, -48.58735294117642], [226, -72.9403616532721], [227, -44.75970361445778], [228, -64.83737499999998], [229, -50.12591019685905], [230, -48.274054054054034], [231, -48.58369565217387], [232, -45.05713242907433], [233, -52.887534120958776], [234, -42.40427762818044], [235, -58.14987887833999], [236, -48.130987878787835], [237, -43.550097462871236], [238, -67.05492484377635], [239, -46.205949662688084], [240, -44.102850833166], [241, -79.51372585895112], [242, -41.28750765246053], [243, -48.12563577586204], [244, -43.34610704323569], [245, -51.0526923076923], [246, -53.73003037205768], [247, -47.47616393442621], [248, -65.9809907834101], [249, -38.081497631879785], [250, -48.54215079365076], [251, -56.77081218274111], [252, -39.45335700362011], [253, -59.725390658174064], [254, -40.87666438590486], [255, -57.57297468354429], [256, -55.992690979563065], [257, -49.81209110570424], [258, -47.593885592628766], [259, -40.472914517176775], [260, -51.031750433275505], [261, -53.28013248426288], [262, -35.029158656926796], [263, -53.738420298165124], [264, -38.29597560975611], [265, -53.390462250866506], [266, -64.87357376750953], [267, -51.23382950924153], [268, -53.73776470588231], [269, -50.144051948051924], [270, -42.541038505900076], [271, -53.054409385113246], [272, -32.414860253015576], [273, -39.010084095063974], [274, -35.05289277070395], [275, -56.995909785932696], [276, -56.418552188552184], [277, -38.4094751521298], [278, -61.31881288614295], [279, -47.36554651162788], [280, -50.72049431818181], [281, -78.2550434782608], [282, -69.01370235934661], [283, -56.06642699115042], [284, -28.68896666127202], [285, -55.84289621318371], [286, -75.58794609665424], [287, -34.410262237762225], [288, -48.823996677740865], [289, -45.49284555382212], [290, -47.16640120967742], [291, -54.02158192090394], [292, -52.23624353225247], [293, -47.69733698977359], [294, -37.334247831474585], [295, -53.1148655569782], [296, -73.80495332337563], [297, -37.902813852813836], [298, -53.59904853128987], [299, -45.301733154906145], [300, -53.33495847750862], [301, -68.807800100452], [302, -50.18469158878503], [303, -35.03290804634284], [304, -73.28885166915217], [305, -49.167793721973055], [306, -97.19945472552342], [307, -35.08837456571223], [308, -69.5756282051282], [309, -34.72877747252747], [310, -72.16565576102411], [311, -78.75740086830675], [312, -55.39958333333331], [313, -40.76977361605975], [314, -48.510233834407046], [315, -49.595718974416485], [316, -67.83824675324675], [317, -49.85081879460742], [318, -60.59739980381164], [319, -51.86256987577639], [320, -47.46025641025639], [321, -82.74947802895602], [322, -45.72433566433563], [323, -64.74303921568625], [324, -57.90828146112963], [325, -78.16551633298204], [326, -58.95194131715567], [327, -59.323291803278664], [328, -54.113949152542375], [329, -45.701798862484], [330, -79.51614929214927], [331, -61.04231182795695], [332, -50.35202797202797], [333, -64.8800987186518], [334, -42.77144281352312], [335, -54.99154241238986], [336, -86.65899396378268], [337, -43.17223958333332], [338, -43.4830692583179], [339, -31.916818181818144], [340, -64.74430501930499], [341, -75.11166728110595], [342, -37.78980213089801], [343, -55.41610824742267], [344, -57.0178145985401], [345, -57.49267090620026], [346, -68.66007118451026], [347, -42.134713541666656], [348, -49.93203598638348], [349, -33.71952049936161], [350, -59.11586043462913], [351, -75.63929824561404], [352, -54.71137763371149], [353, -59.65415067079462], [354, -50.31988212180744], [355, -60.161785714285685], [356, -70.36818103149875], [357, -34.22285714285712], [358, -58.968333333333334], [359, -36.108686704636426], [360, -51.96368392002941], [361, -61.144565116817006], [362, -39.85892344497606], [363, -43.70611024542265], [364, -30.084124270225175], [365, -60.69836433946486], [366, -42.24916882556127], [367, -47.54876582278479], [368, -50.707571428571384], [369, -45.996964285714256], [370, -52.384654111504716], [371, -75.54708710443543], [372, -48.359687042995006], [373, -62.807237143118556], [374, -44.95773310023307], [376, -65.96745912236668], [377, -63.37752089398063], [378, -45.3341421115222], [379, -46.97340909090906], [380, -42.33534207727752], [381, -73.80686403508773], [382, -42.67852941176466], [383, -60.92071157495252], [384, -50.57860396039601], [385, -58.49525308098589], [386, -71.31371825085097], [387, -52.295789590254685], [388, -63.41149238630035], [389, -33.022939088914654], [390, -52.791195840554565], [391, -49.79715626585488], [392, -53.35514023769099], [393, -58.790520119862975], [394, -38.46465696465691], [395, -58.2227913135593], [396, -65.1226534653465], [397, -56.074464794464745], [398, -50.63384696905467], [399, -57.8399095022624], [400, -37.4808536045997], [401, -66.09384615384613], [402, -50.727424242424206], [403, -55.40708428767749], [404, -31.245830241187377], [405, -55.32644524186256], [406, -54.48447319778185], [407, -65.40066424890242], [408, -53.3285461323392], [409, -39.139195260663456], [410, -54.69698336750966], [411, -52.97304347826082], [412, -56.91405931586607], [413, -56.825164507064216], [414, -44.19184293842338], [415, -41.549368066561016], [416, -49.811335410399636], [417, -65.86557632398748], [418, -45.47386977886973], [419, -51.068702617800994], [420, -33.27712818631946], [421, -59.86271452145212], [422, -48.57834224598926], [423, -55.15269264004206], [424, -32.37043614178384], [425, -75.72499999999997], [426, -40.776588722309214], [427, -44.29460040983605], [428, -45.319090909090875], [429, -51.14507320549362], [430, -59.717798491830735], [431, -50.63142956040147], [432, -55.72507298612362], [433, -59.349331230969966], [434, -49.89438275862068], [435, -43.09106834143702], [436, -69.01868168969847], [437, -49.84194515742638], [438, -57.21723184949653], [439, -61.33444652908065], [440, -70.47770319786804], [441, -54.91369118745328], [442, -65.25540983606555], [443, -64.074948859166], [444, -36.258579714608345], [445, -43.73041740049308], [446, -84.3632966056513], [447, -41.22683656957926], [448, -65.54438502673793], [449, -37.823412371134026], [450, -37.643575049336334], [451, -72.69895389553542], [452, -37.678977461447175], [453, -46.97996080049515], [454, -48.20498310810808], [455, -44.295801955434285], [456, -68.16394944278335], [457, -58.68745454545453], [458, -63.84070376158047], [459, -47.69161561441055], [460, -69.49974131274129], [461, -47.545458015267144], [462, -46.34997126436778], [463, -46.516668101701754], [464, -56.78370431256505], [465, -55.885193641618486], [466, -77.49179407548968], [467, -42.952791908552285], [468, -27.27976864844902], [469, -46.26125015124015], [470, -72.87819757365682], [471, -72.90743966062388], [472, -52.47522058823523], [473, -57.01771044761483], [474, -57.58899220597925], [475, -31.614658640736707], [476, -99.58788662373624], [477, -45.11669999999998], [478, -61.9072222222222], [479, -47.99769559032717], [480, -39.44907342657339]]"
sum readability,-37.21913618321641,,
